Frame,Lat,Lon,Altitude_m,Yaw_deg,Pitch_deg,Roll_deg
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,28.7536328,77.1154074,0,90.75306501,-0.2100152836,0.6551872835
12,28.7536328,77.1154074,0,90.75306501,-0.2100152836,0.6551872835
13,28.7536328,77.1154074,0,90.75306501,-0.2100152836,0.6551872835
14,28.7536328,77.1154074,0,90.75306501,-0.2100152836,0.6551872835
15,28.7536328,77.1154074,0,90.75306501,-0.2100152836,0.6551872835
16,28.7536328,77.1154074,0,90.75306501,-0.2100152836,0.6551872835
17,28.7536327,77.1154074,0.003,90.74180203,-0.210114388,0.649901144
18,28.7536327,77.1154074,0.003,90.74180203,-0.210114388,0.649901144
19,28.7536327,77.1154074,0.003,90.74180203,-0.210114388,0.649901144
20,28.7536327,77.1154074,0.003,90.74180203,-0.210114388,0.649901144
21,28.7536327,77.1154074,0.003,90.74180203,-0.210114388,0.649901144
22,28.7536327,77.1154074,0.003,90.74180203,-0.210114388,0.649901144
23,28.7536327,77.1154073,0.007,90.7233332,-0.2066214266,0.65307985
24,28.7536327,77.1154073,0.007,90.7233332,-0.2066214266,0.65307985
25,28.7536327,77.1154073,0.007,90.7233332,-0.2066214266,0.65307985
26,28.7536327,77.1154073,0.007,90.7233332,-0.2066214266,0.65307985
27,28.7536327,77.1154073,0.007,90.7233332,-0.2066214266,0.65307985
28,28.7536327,77.1154073,0.007,90.7233332,-0.2066214266,0.65307985
29,28.7536326,77.1154073,0.004,90.77102158,-0.206108949,0.6582898969
30,28.7536326,77.1154073,0.004,90.77102158,-0.206108949,0.6582898969
31,28.7536326,77.1154073,0.004,90.77102158,-0.206108949,0.6582898969
32,28.7536326,77.1154073,0.004,90.77102158,-0.206108949,0.6582898969
33,28.7536326,77.1154073,0.004,90.77102158,-0.206108949,0.6582898969
34,28.7536326,77.1154073,0.004,90.77102158,-0.206108949,0.6582898969
35,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
36,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
37,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
38,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
39,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
40,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
41,28.7536326,77.1154072,-0.001,90.7798052,-0.2033373329,0.6613003562
42,28.7536326,77.1154072,-0.005,90.76992192,-0.2056822489,0.6603512801
43,28.7536326,77.1154072,-0.005,90.76992192,-0.2056822489,0.6603512801
44,28.7536326,77.1154072,-0.005,90.76992192,-0.2056822489,0.6603512801
45,28.7536326,77.1154072,-0.005,90.76992192,-0.2056822489,0.6603512801
46,28.7536326,77.1154072,-0.005,90.76992192,-0.2056822489,0.6603512801
47,28.7536326,77.1154072,-0.005,90.76992192,-0.2056822489,0.6603512801
48,28.7536326,77.1154072,-0.01,90.81537,-0.2139188434,0.6604482367
49,28.7536326,77.1154072,-0.01,90.81537,-0.2139188434,0.6604482367
50,28.7536326,77.1154072,-0.01,90.81537,-0.2139188434,0.6604482367
51,28.7536326,77.1154072,-0.01,90.81537,-0.2139188434,0.6604482367
52,28.7536326,77.1154072,-0.01,90.81537,-0.2139188434,0.6604482367
53,28.7536326,77.1154072,-0.01,90.81537,-0.2139188434,0.6604482367
54,28.7536325,77.1154072,-0.02,90.77065275,-0.2135819097,0.6602735333
55,28.7536325,77.1154072,-0.02,90.77065275,-0.2135819097,0.6602735333
56,28.7536325,77.1154072,-0.02,90.77065275,-0.2135819097,0.6602735333
57,28.7536325,77.1154072,-0.02,90.77065275,-0.2135819097,0.6602735333
58,28.7536325,77.1154072,-0.02,90.77065275,-0.2135819097,0.6602735333
59,28.7536325,77.1154072,-0.02,90.77065275,-0.2135819097,0.6602735333
60,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
61,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
62,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
63,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
64,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
65,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
66,28.7536325,77.1154072,-0.029,90.75822863,-0.2123088131,0.664304092
67,28.7536325,77.1154071,-0.034,90.74482097,-0.2123704449,0.6558594168
68,28.7536325,77.1154071,-0.034,90.74482097,-0.2123704449,0.6558594168
69,28.7536325,77.1154071,-0.034,90.74482097,-0.2123704449,0.6558594168
